Aaronovitch, Ben;Die Flüsse von London 1;R;R
Aaronovitch, Ben;Die Flüsse von London 2 - Schwarzer Mond über Soho;R;R
Aaronovitch, Ben;Die Flüsse von London 3 - Der böse Ort;R;R
Aaronovitch, Ben;Die Flüsse von London 4 - Ein Wispern unter Baker Street;R;R
Aaronovitch, Ben;Die Flüsse von London 5 - Fingerhut-Sommer;R;R
Aaronovitch, Ben;Die Flüsse von London 6 - Der Galgen von Tyburn;R;R
Aaronovitch, Ben;Die Flüsse von London 7 - Die Glocke von Whitechapel;R;R
Aaronovitch, Ben;Die Flüsse von London 8 - Ein weißer Schwan in Tabernacle Street;R;R
Beck, Kent;Implementation Patterns;S;R
Bennent-Vahle, Heidemarie;Glück kommt von Denken - Die Kunst, das eigene Leben in die Hand zu nehmen;S;R
Benni-Mama;Große Ärsche auf kleinen Stühlen - Eine Kindergartenmutter packt aus;S;R
Berg, Sibylle;GRM;R;R
Berg, Sibylle;Nerds;S;R
Bloch, Joshua;Effectie Java (Third Edition);S;R
Bolton, John;The Room Where It Happened - A White House Memoir;S;U
Bostrom, Nick;Superintelligenz - Szenarien einer kommenden Revolution;S;R
Bradbury, Ray;Die Mars-Chroniken;R;U
Brockmeier, Kevin;Die Stadt der Toten;R;R
Brooks, Frederick P.;The Mythical Man-Month;S;R
Brooks, Greg & Lupton, Simon;Freddie Mercury - Ein Leben in eigenen Worten;S;R
Carrol, Lewis & Rieder, Floor;Alice im Wunderland & Alice hinter den Spiegel;R;R
Chacon, Scott & Straub, Ben;Pro Git;S;R
Chappel, Emily;Where THere's A Will - Hope, Grief and Endurance in A Cycle Race Across a Continent;S;R
Chua, Amy;Die Mutter des Erfolgs - Wie ich meinen Kindern das Siegen beibrachte;S;R
Cleave, Paul;Das Haus des Todes;R;R
Diangelo, Robin;White Fragility - Why It's So Hard For White People To Talk About Racism;S;R
Die Toten Hosen;Der Krach der Republik - Das Tourfinale;S;R
Dimery, Robert & Lydon, Michael;1001 Albums;S;R
Doyle, Arthur Conan;Das Zeichen der Vier;R;R
